turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,pig,mosquito,cricket,empty,empty,0,1,0
2,pig,mosquito,cricket,cricket,horse,0,2,0
3,pig,mosquito,cricket,cricket,horse,0,3,0
4,pig,mosquito,cricket,cricket,horse,0,4,0
