turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,ant,cricket,pig,empty,empty,0,1,0
2,ant,cricket,pig,beaver,otter,0,2,0
3,ant,cricket,pig,beaver,otter,0,3,0
4,ant,cricket,pig,beaver,otter,0,4,0
