turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,cricket,fish,mosquito,empty,empty,1,0,1
2,cricket,fish,mosquito,mosquito,beaver,1,1,0
3,cricket,fish,mosquito,mosquito,beaver,1,2,0
4,cricket,fish,mosquito,mosquito,beaver,1,3,0
