turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,otter,horse,beaver,empty,empty,0,1,0
2,otter,horse,beaver,beaver,horse,0,2,0
3,otter,horse,beaver,beaver,horse,0,3,0
4,otter,horse,beaver,beaver,horse,0,4,0
