turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,beaver,ant,fish,empty,empty,0,0,0.5
2,beaver,ant,fish,pig,duck,1,0,1
3,beaver,ant,fish,pig,duck,1,1,0
4,beaver,ant,fish,pig,duck,1,2,0
5,beaver,ant,fish,pig,duck,1,3,0
6,beaver,ant,fish,pig,duck,1,4,0
