turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,cricket,duck,horse,empty,empty,0,1,0
2,cricket,duck,horse,otter,cricket,1,1,1
3,cricket,duck,horse,otter,cricket,1,2,0
4,cricket,duck,horse,otter,cricket,1,3,0
5,cricket,duck,horse,otter,cricket,1,4,0
