turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,beaver,ant,ant,empty,empty,1,0,1
2,beaver,ant,ant,beaver,ant,1,1,0
3,beaver,ant,ant,beaver,ant,1,2,0
4,beaver,ant,ant,beaver,ant,1,3,0
5,beaver,ant,ant,beaver,ant,1,4,0
