turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,mosquito,duck,beaver,empty,empty,0,1,0
2,mosquito,duck,beaver,duck,mosquito,0,2,0
3,mosquito,duck,beaver,duck,mosquito,0,3,0
4,mosquito,duck,beaver,duck,mosquito,0,4,0
