turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,beaver,duck,pig,empty,empty,0,1,0
2,beaver,duck,pig,beaver,duck,0,2,0
3,beaver,duck,pig,beaver,duck,0,3,0
4,beaver,duck,pig,beaver,duck,0,4,0
