turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,otter,otter,cricket,empty,empty,0,0,0.5
2,otter,otter,cricket,horse,cricket,0,0,0.5
3,otter,otter,cricket,horse,cricket,0,1,0
4,otter,otter,cricket,horse,cricket,0,2,0
5,otter,otter,cricket,horse,cricket,1,2,1
6,otter,otter,cricket,horse,cricket,1,3,0
7,otter,otter,cricket,horse,cricket,1,4,0
